business_id,latitude,longitude,fieldwork_date,city
AD018,9.031612,38.67144,2026-04-06,Addis Ababa
AD019,8.894855,38.775876,2026-04-11,Addis Ababa
AD020,8.961462,38.712062,2026-04-06,Addis Ababa
AD021,9.004986,38.754264,2026-04-06,Addis Ababa
AD022,9.046887,38.740692,2026-04-16,Addis Ababa
AD023,8.946788,38.690914,2026-04-06,Addis Ababa
AD024,8.98379,38.719314,2026-04-04,Addis Ababa
AD025,9.022292,38.767401,2026-04-19,Addis Ababa
AD026,8.907518,38.748793,2026-04-09,Addis Ababa
AD027,8.979125,38.746535,2026-04-18,Addis Ababa
AD028,9.06551,38.697724,2026-04-18,Addis Ababa
AD029,8.884381,38.767275,2026-04-03,Addis Ababa
AD030,9.02587,38.724123,2026-04-16,Addis Ababa
AD031,8.890633,38.764049,2026-04-02,Addis Ababa
AD032,8.990653,38.904876,2026-04-05,Addis Ababa
AD033,9.04261,38.843481,2026-04-09,Addis Ababa
AD034,8.95536,38.696964,2026-04-16,Addis Ababa
AD035,9.057732,38.873428,2026-04-24,Addis Ababa
AD036,8.877628,38.76314,2026-04-17,Addis Ababa
AD037,9.017437,38.748538,2026-04-20,Addis Ababa
AD038,9.016729,38.69329,2026-04-03,Addis Ababa
AD039,8.973612,38.667958,2026-04-14,Addis Ababa
AD040,8.91235,38.774932,2026-04-16,Addis Ababa
DE001,28.688656,77.092777,2026-05-04,Delhi
DE002,28.649831,77.109978,2026-05-20,Delhi
DE003,28.774202,77.182084,2026-05-03,Delhi
DE004,28.57076,77.219248,2026-05-12,Delhi
DE005,28.733685,77.015535,2026-05-22,Delhi
DE006,28.739521,77.116108,2026-05-13,Delhi
DE007,28.690985,77.124129,2026-05-02,Delhi
DE008,28.654298,77.071901,2026-05-15,Delhi
DE009,28.533923,77.0507,2026-05-16,Delhi
DE010,28.496013,77.32883,2026-05-17,Delhi
DE011,28.627854,77.221369,2026-05-14,Delhi
DE012,28.710449,77.175273,2026-05-09,Delhi
DE013,28.660604,77.319148,2026-05-14,Delhi
DE014,28.615701,77.337529,2026-05-01,Delhi
DE015,28.655187,77.204588,2026-05-23,Delhi
DE016,28.523547,77.221713,2026-05-18,Delhi
DE017,28.596823,76.966649,2026-05-03,Delhi
DE018,28.544557,77.272663,2026-05-15,Delhi
DE019,28.754549,77.09124,2026-05-10,Delhi
DE020,28.70691,77.143086,2026-05-01,Delhi
DE021,28.663804,77.174082,2026-05-07,Delhi
DE022,28.70162,77.163613,2026-05-03,Delhi
DE023,28.697316,77.105417,2026-05-07,Delhi
DE024,28.558958,77.007874,2026-05-01,Delhi
DE025,28.649927,77.086774,2026-05-14,Delhi
DE026,28.635045,77.305283,2026-05-02,Delhi
DE027,28.531747,77.247456,2026-05-22,Delhi
DE028,28.727654,77.273823,2026-05-22,Delhi
DE029,28.544467,77.128878,2026-05-20,Delhi
DE030,28.691519,77.137213,2026-05-11,Delhi
DE031,28.769866,77.074619,2026-05-21,Delhi
DE032,28.626469,77.198768,2026-05-07,Delhi
DE033,28.619857,77.337711,2026-05-20,Delhi
DE034,28.748573,77.171442,2026-05-08,Delhi
DE035,28.524207,77.231593,2026-05-10,Delhi
DE036,28.655846,77.286055,2026-05-19,Delhi
DE037,28.696599,77.290823,2026-05-05,Delhi
DE038,28.641428,77.086947,2026-05-09,Delhi
DE039,28.559307,77.184106,2026-05-01,Delhi
DE040,28.702199,77.315308,2026-05-22,Delhi
JA001,-6.140721,106.934583,2026-06-21,Jakarta
JA002,-6.196185,106.731688,2026-06-05,Jakarta
JA003,-6.159918,106.8344,2026-06-12,Jakarta
JA004,-6.220933,106.78026,2026-06-22,Jakarta
JA005,-6.225035,106.924173,2026-06-05,Jakarta
JA006,-6.230163,106.828292,2026-06-20,Jakarta
JA007,-6.253478,106.821643,2026-06-16,Jakarta
JA008,-6.14384,106.938764,2026-06-05,Jakarta
JA009,-6.30929,106.904414,2026-06-05,Jakarta
JA010,-6.35695,106.792862,2026-06-10,Jakarta
JA011,-6.264955,106.830363,2026-06-01,Jakarta
JA012,-6.240446,106.896492,2026-06-16,Jakarta
JA013,-6.154225,106.949936,2026-06-17,Jakarta
JA014,-6.232422,106.75498,2026-06-20,Jakarta
JA015,-6.127607,106.843815,2026-06-01,Jakarta
JA016,-6.336346,106.803098,2026-06-05,Jakarta
JA017,-6.148593,106.80738,2026-06-08,Jakarta
JA018,-6.146739,106.786127,2026-06-13,Jakarta
JA019,-6.297478,106.81088,2026-06-19,Jakarta
JA020,-6.239566,106.941213,2026-06-08,Jakarta
JA021,-6.194615,106.89358,2026-06-02,Jakarta
JA022,-6.128809,106.697378,2026-06-21,Jakarta
JA023,-6.242801,106.834044,2026-06-24,Jakarta
JA024,-6.228152,106.906221,2026-06-04,Jakarta
JA025,-6.164864,106.871668,2026-06-03,Jakarta
JA026,-6.273166,106.829504,2026-06-18,Jakarta
JA027,-6.2298,106.843375,2026-06-23,Jakarta
JA028,-6.105404,106.692876,2026-06-17,Jakarta
JA029,-6.313167,106.912905,2026-06-03,Jakarta
JA030,-6.153874,106.710685,2026-06-20,Jakarta
JA031,-6.305644,106.911751,2026-06-19,Jakarta
JA032,-6.210347,106.720535,2026-06-09,Jakarta
JA033,-6.137088,106.806327,2026-06-14,Jakarta
JA034,-6.242066,106.802041,2026-06-15,Jakarta
JA035,-6.117221,106.931027,2026-06-12,Jakarta
JA036,-6.330782,106.920542,2026-06-04,Jakarta
JA037,-6.168867,106.810517,2026-06-07,Jakarta
JA038,-6.170602,106.833696,2026-06-07,Jakarta
JA039,-6.233205,106.784897,2026-06-03,Jakarta
JA040,-6.273249,106.87398,2026-06-18,Jakarta
LA001,6.491092,3.327263,2026-07-12,Lagos
LA002,6.461909,3.427455,2026-07-14,Lagos
LA003,6.47825,3.565523,2026-07-18,Lagos
LA004,6.455643,3.393593,2026-07-05,Lagos
LA005,6.456224,3.369652,2026-07-13,Lagos
LA006,6.451191,3.609817,2026-07-07,Lagos
LA007,6.440427,3.409991,2026-07-06,Lagos
LA008,6.489481,3.379786,2026-07-12,Lagos
LA009,6.434644,3.440595,2026-07-19,Lagos
LA010,6.425386,3.507779,2026-07-13,Lagos
LA011,6.438847,3.456656,2026-07-20,Lagos
LA012,6.443584,3.514568,2026-07-09,Lagos
LA013,6.481734,3.579139,2026-07-17,Lagos
LA014,6.446804,3.353178,2026-07-21,Lagos
LA015,6.50221,3.350304,2026-07-13,Lagos
LA016,6.42859,3.431762,2026-07-22,Lagos
LA017,6.486058,3.336694,2026-07-04,Lagos
LA018,6.487461,3.34297,2026-07-18,Lagos
LA019,6.435703,3.559374,2026-07-15,Lagos
LA020,6.4456,3.439098,2026-07-22,Lagos
LA021,6.461774,3.554247,2026-07-11,Lagos
LA022,6.496785,3.353447,2026-07-08,Lagos
LA023,6.440899,3.505452,2026-07-21,Lagos
LA024,6.453027,3.407674,2026-07-08,Lagos
LA025,6.476261,3.621995,2026-07-05,Lagos
LA026,6.438066,3.481833,2026-07-22,Lagos
LA027,6.451814,3.370735,2026-07-21,Lagos
LA028,6.508451,3.366372,2026-07-13,Lagos
LA029,6.431169,3.554961,2026-07-18,Lagos
LA030,6.4816,3.384814,2026-07-02,Lagos
LA031,6.436584,3.532145,2026-07-13,Lagos
LA032,6.455996,3.606826,2026-07-22,Lagos
LA033,6.491492,3.354165,2026-07-17,Lagos
LA034,6.443092,3.505427,2026-07-22,Lagos
LA035,6.505625,3.355546,2026-07-01,Lagos
LA036,6.427954,3.479792,2026-07-01,Lagos
LA037,6.471576,3.620179,2026-07-17,Lagos
LA038,6.471141,3.573432,2026-07-03,Lagos
LA039,6.448461,3.427033,2026-07-05,Lagos
LA040,6.437253,3.523569,2026-07-21,Lagos
